Date,Strike Price,Expiry,Premium,"31-Dec-2016, NIFTY 8185.80","31-Dec-2016, NIFTY 8185.80","31-Dec-2016, NIFTY 8185.80"
,,,,,,
12-10-16,7800,25-Jan-17,40,30.05,30.05,30.05
,,,,,,
12-11-16,7800,23-Feb-17,30,72.3,72.3,72.3
,,,,,,
12-12-16,8000,25-Jan-17,,61.2,61.2,61.2
,,,,,,
12/13/16,8000,23-Feb-17,,117.5,117.5,117.5
,,,,,,
12/14/16,8300,25-Jan-17,,175,175,175
,,,,,,
12/15/16,8300,23-Feb-17,,234.5,234.5,234.5
,,,,,,
12/16/16,8400,25-Jan-17,,241.65,241.65,241.65
,,,,,,
12/17/16,8400,23-Feb-17,,295.05,295.05,295.05
,,,,,,
12/18/16,8600,25-Jan-17,,414,414,414
,,,,,,
,7500,25-Jan-17,,425,425,9.85
,,,,,,
,7500,30-Mar-17,,30.05,30.05,55
